Timestamp,Download,Upload
23:13:09,87.4,116.3
23:13:29,82.2,116.3
23:13:50,90.0,113.6
23:14:10,79.5,116.3
23:14:30,72.8,113.3
23:14:51,65.3,116.5
23:15:11,67.3,115.2
23:15:31,64.6,116.3
23:15:52,71.1,114.4
23:16:12,64.3,116.4
23:16:32,72.1,116.0
23:16:53,65.8,113.1
23:17:13,70.6,116.5
23:17:34,70.5,115.9
23:17:54,90.9,115.6
23:18:14,91.3,116.1
